1 3     10:52 10:52 10:44
3 1     10:03
5 3     10:21 10:49 10:29
9 2     10:41 10:05
13 2    10:31 10:19
14 3    10:14 10:24 9:41
20 4    10:41 11:05 10:39 10:24
21 2    10:54 10:01
22 2    10:26 9:58
25 1    10:44
27 2    9:54  10:22
28 3    11:52 11:40 11:34
35 5    11:02 11:11 10:44 10:24 10:05
41 2    10:05 10:05
43 4    10:12 10:14 10:12 9:56
55 2    10:46 10:31
56 4    10:29 10:26 10:07 9:47
59 2    10:34 10:05
79 3    11:00 10:52 10:45
80 2    9:29  9:22
88 3    10:24 9:58  9:37
89 5    10:19 10:24 10:14 10:17 10:14
96 4    10:03 9:58  9:52  9:29
97 1    11:00
98 3    11:22 11:13 11:08
100 3   11:31 10:14 10:03
101 3   frisbee     11:37 11:13
104 4   10:31 10:46 10:03 9:37
106 3    9:21  8:51 11:31
107 3   10:39 10:34 10:36
111 2   10:12 10:01
112 5   11:05 11:08 10:54 10:44 10:07
113 4   10:47 400-7:59 400-7:33 10:57
115 3   frisbee 9:50 9:35
116 3   10:29  8:41 10:17 
117 3   10:14 10:17 9:45
123 6   10:41 10:46 10:31 10:24 9:41 9:15
124 4   10:19 10:25 10:21 9:50
127 4   10:28 7:56 10:44 10:24
129 3   9:43 9:27 8:48
131 3   11:00 10:46 10:36
139 6   10:39 10:26 10:21 10:05 9:52 9:07
142 2   11:25 11:11
149 7   10:41 10:19 10:05 10:01 9:52 9:35 9:06
159 5   11:00 10:36 10:34 10:26 10:01
160 2   12:08 10:49
167 3   10:21 10:34 10:05
168 3   9:32  48/46/45/44/43/45/44/42 10:29
170 4   10:31 10:26 9:54 8:33
177 5   10:31 10:36 10:31 10:17 9:06
179 2   11:02 9:02
184 6   10:54 10:26 10:19 9:58 9:43 9:00
190 4   10:26 10:29 10:24 10:12
192 3   11:11 11:00 10:54
194 3   11:00 11:00 9:50
199 4   10:21 10:15 10:13 8:45
202 6   10:31 10:31 10:26 11:00 10:01 8:48
207 2   11:05 9:56
212 3   10:44 10:21 9:56
213 3   9:50 8:43 9:31
218 3   10:12 10:17 11:02
222 4   11:16 10:57 10:41 10:29
224 3   9:21 8:34 11:23
225 5   10:57 10:54 10:49 10:46 10:19
227 2   11:00 10:42
228 3   9:37 1:49/1:45/1:42/1:39 11:00
234 4   10:39 10:54 10:41 9:17
235 2   11:00 11:00
236 3   10:57 11:13 8:23
237 3   9:58 10:01 8:49
240 5   11:08 10:45 10:49 10:36 8:18
253 4   10:39 10:21 10:03 8:48
255 3   9:31 9:27 9:25
257 2   10:52 9:56
260 5   10:36 10:34 10:19 10:10 9:37
264 3   10:03 9:50 9:27
268 3   10:17 10:19 10:10
274 7   11:43 11:40 11:40 11:08 11:00 10:41 10:29
276 2   10:03 9:56
280 3   10:21 10:44 10:19
281 3   10:28 4:22/4:21 10:48
282 3   10:39 10:24 9:50
284 3   10:26 10:05 9:43
288 6   10:24 10:26 10:17 10:03 9:54 9:27
291 2   10:36 9:23
294 6   11:00 11:02 10:46 10:41 10:29 9:21
298 3   9:54 9:45 9:25
300 3   10:05 9:47 9:21
302 3   11:00 10:46 10:36
305 4   10:29 10:19 10:05 9:43
308 4   10:06 2:07/1:58/1:57/1:55 11:08 10:41
310 2   10:24 10:14
315 8   11:11 10:49 10:46 10:31 10:21 10:31 10:19 9:39
321 2   9:29 9:45
322 3   10:31 10:30 10:21
324 2   10:32 10:03
327 5   10:10 10:12 10:12 10:05 9:39
329 5   10:49 11:00 10:54 10:49 10:49
332 3   12:00 10:55 10:55
336 5   10:29 10:29 10:29 9:54 9:23
342 3   10:57 10:44 10:21
346 4   10:36 10:26 10:34 10:21
348 10  10:36 10:41 10:39 10:36 10:29 10:26 10:29 10:39 10:39 10:31
353 4	10:44 11:05 11:11 10:54
362 3   10:59 10:21 10:51 
